block_timestamp,open,high,low,close
2022-12-08,1.1406207590539477,4.271751291150937,1.1406207590539477,1.1861581489659145
2022-12-09,1.1820667185267808,1.2748689353846154,1.178938695436207,1.2509017777776756
2022-12-10,1.2509017777776756,1.2583865,1.1896708989988105,1.2152325255296434
2022-12-11,1.2079758205858755,1.2123209016925132,1.20337060651653,1.21062170092344
2022-12-12,1.21062170092344,1.21062170092344,1.1774898990303393,1.189118154077058
2022-12-13,1.182209112323943,1.18935352,1.1645389592023754,1.1645389592023754
2022-12-14,1.171968706796776,1.171968706796776,1.156506617087756,1.156506617087756
2022-12-15,1.156506617087756,1.161079634923944,1.153239147081544,1.1542081002852715
2022-12-16,1.1542081002852715,1.1542081002852715,1.1388290027380628,1.1388290027380628
2022-12-17,1.1388290027380628,1.1486982866493407,1.1388290027380628,1.1425750261552012
2022-12-18,1.1425750261552012,1.1425750261552012,1.1421727476923076,1.1421727476923076
2022-12-19,1.1494783837398375,1.1494783837398375,1.1428519151103564,1.1428519151103564
2022-12-20,1.1494712773517153,1.1494712773517153,1.1494712773517153,1.1494712773517153
2022-12-21,1.1494712773517153,1.1494712773517153,1.1386551,1.1386551
2022-12-22,1.138639222217428,1.138639222217428,1.138639222217428,1.138639222217428
2022-12-23,1.1455641908615457,1.1455641908615457,1.1377954562530173,1.1377954562530173
2022-12-24,1.1446342417365427,1.1447946421545396,1.1446342417365427,1.1447946421545396
2022-12-25,1.137936206695063,1.145024376633503,1.137936206695063,1.145024376633503
2022-12-26,1.1450729603516294,1.1625638044792936,1.1450729603516294,1.1615053471424217
2022-12-27,1.1615053471424217,1.1615053471424217,1.1541498637211696,1.1541498637211696
2022-12-28,1.1623943736666669,1.1631483395461557,1.154828426020809,1.1631483395461557
2022-12-29,1.1631483395461557,1.1631483395461557,1.1548907884365032,1.1548907884365032
2022-12-30,1.1618982422610693,1.1622404097902097,1.151048749,1.1588809927774024
2022-12-31,1.1588809927774024,1.1606192292869628,1.1536916245888151,1.1606192292869628
