"address","balance"
"0x9dda370f43567b9c757a3f946705567bce482c42",0.0
"0x862faefeaa199b2a0ea5725302b938886c1c2b9d",0.0
"0xdd0d31a2e3674f1492fa680b5139c626e3578fe6",1.14479059
"0xb45f926e44e27339578f74096411fd0653b29125",0.0
"0x0249b59051e139c7af9cc3a4c8f1da90fdc8e8a0",0.90008761
"0x93b6e24976a2a3bbed11feb840b47727be914d0d",0.000000001
"0x094c6d123b0688d083602d259132bd6a4a3ae7de",2.055956203
"0x349f7a5d623b798cc6c2e5e7f65812b9b0209c65",1.00637543
"0xc1f33e0cf7e40a67375007104b929e49a581bafe",1203.261663556
"0xd77e09b22d28eab54fe5a4d7294726815048d085",0.8984564
"0x7b3615d262d583c608eaead0a25fb46d7771fea5",0.89210698
"0xff7565889e029b729d59c04a2651c569f9883e54",3521.139300525
"0x8e6703332c167a82a1d5e1adb0754607d4d2de22",10.110289013
"0xccf9627848ad7d8a2582ad1d8d4883f3561eede3",0.0
"0x18914d35c41616f1b608075bbc8d759e6f9f0360",1.26769504
"0x18ac6951ef84d343c5303ce2bba09bbafd696145",0.0
"0xebce230478325df9a520f7c09c22666b45d72718",0.0
"0x6981caaa8329d99da567ada0da54c833c74e6b1f",2.68818404
"0xeb6c3b34efdef50886d4108c112a5a6048033688",1.76120316
"0x61d7ece32854caf46c6304fd536704eacd4da256",0.0
"0x8808dab383a6c74d032a63b149a3a83f75431e82",0.90631554
"0xca66b197d337f15f4b949e3201ee833c73665217",0.000000001
"0x26c8ebc31966b82d55ccccfbc4d799f14c350ee1",1.14769665
"0x2f331417e4d83b6d49626f99066910f41445d586",0.93770695
"0x83a83ae2fd0631bc2c8ef6da568f6c8ed9168849",0.000003411
"0x23d9128897a75728c4ede750d82faec501360746",1.07317586
"0xa425e2fe03af3a9dfc8d191e6cc2d4118cc66744",5.230997824
"0x009dfc4901f1b528b5d2f6fcbe75fd35fe9f3e1d",1.48614279
"0xeca614f89c0fdead56babeff14510d8972940175",20.40136224
"0x4477862ebf7a662e9741ddaebf909ac4bceb24c8",0.90669611
"0xbd7dbb5886786af713ebb1841323c528699bd92d",11.46448625
"0xa29fddec9c36bdd680d3f5867735ff8949a7f15d",3.67772686
